strace: Process 34168 attached
strace: Process 34168 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 87.17   28.042106         371     75527       986 futex
  5.79    1.861379          23     80661           write
  3.43    1.102901          22     48287     26935 read
  2.37    0.761387          29     25451           epoll_pwait
  0.55    0.177957         119      1485           nanosleep
  0.45    0.145209         140      1037           sched_yield
  0.16    0.051397           3     13685         4 rt_sigreturn
  0.03    0.008435           1      4439           setsockopt
  0.02    0.004899          45       107           getpid
  0.01    0.003656           3       919        31 accept4
  0.01    0.003345           3       942           epoll_ctl
  0.01    0.001804          16       107           tgkill
  0.01    0.001717          31        54           close
  0.00    0.001355           1       887           getsockname
  0.00    0.000361          72         5           mmap
  0.00    0.000103          25         4           rt_sigprocmask
  0.00    0.000046          46         1           clone3
  0.00    0.000033           8         4           prctl
  0.00    0.000019          19         1           madvise
------ ----------- ----------- --------- --------- ----------------
100.00   32.168109         126    253603     27956 total
